FinancialYear,Componend,Description,Quantity,UnitPrice,TotalPrice,ProductType,CusGroup,CustomerName,Date,Division,UnitofMeasure,Supplier,CATNo,Cluster,ProductGroup,Region,SalesPersonCode,CusType
2017-2018,02_ACHIVE,CRPCONTROLHIGH,1,28909.76,28909.76,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981679,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CRP,6,39013.18,234079.08,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981699,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CALCIUM8x20ML,2,9082.43,18164.86,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981772,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,GAMMA-GT(IFCC)15x5ML,2,7103.99,14207.98,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981778,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CREATINIEN,1,8499.7,8499.7,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981810,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,UREA10X60ML,4,20983.28,83933.12,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981818,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,TOTALPROTEINPLUS12*20ML,1,4960.41,4960.41,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981827,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,ALP(IFCC)PLUS10X20ML,2,8136.08,16272.16,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981833,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,BILIRUBINDIRECT20*4ML,2,7442.2,14884.4,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981892,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,BILLIRUBINTOTAL(NBD)4x20ML,3,8707.7,26123.1,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981897,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,WASHINGSOLUTION4.5%_4X20ML,2,7015.07,14030.14,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,984030,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,ISECALIBRATOR4X400ML,4,44043.45,176173.8,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,984031,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,TRIGLYCERIDESGPO2X50ML,5,11091.41,55457.05,CON,GVT,GENERALHOSPITAL-MONARAGALA,4/27/2017,MED,PACK,BIOLABOSAS,80019,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CHOLESTEROLCHOD-PAP2X100ML,5,11535.56,57677.8,CON,GVT,GENERALHOSPITAL-MONARAGALA,4/27/2017,MED,PACK,BIOLABOSAS,80106,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,HDL-CHOLESTEROLDIRECTMETHOD200-250TEST,2,30668.12,61336.24,CON,GVT,GENERALHOSPITAL-MONARAGALA,4/27/2017,MED,PACK,BIOLABOSAS,90206,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,HDL/LDL/CK-MBCONTROLSERALEVEL1-2X2ML,5,6652.1,33260.5,CON,GVT,GENERALHOSPITAL-MONARAGALA,4/27/2017,MED,PACK,BIOLABOSAS,95516,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,HDL/LDL/CK-MBCONTROLSERALEVEL2-2X2ML,5,6652.1,33260.5,CON,GVT,GENERALHOSPITAL-MONARAGALA,4/27/2017,MED,PACK,BIOLABOSAS,95526,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,"CLEANINGSOLUTION,ACID100ML(formindray)BS300",5,735,3675,CON,GVT,GENERALHOSPITAL-AMPARA,4/27/2017,MED,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-A,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,"CLEANINGSOLUTION,ALK100ml(FORmINDRAYBS300)",5,735,3675,CON,GVT,GENERALHOSPITAL-AMPARA,4/27/2017,MED,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-B,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,ALT/GPT(IFCC)7x50ML,1,13483.92,13483.92,CON,GVT,GENERALHOSPITAL-BADULLA,5/22/2017,MED,PACK,THERMOELECTRONOY,981361,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,AST/GOT(IFCC)*7x50ML,1,13483.92,13483.92,CON,GVT,GENERALHOSPITAL-BADULLA,5/22/2017,MED,PACK,THERMOELECTRONOY,981363,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CREATINIEN,2,8499.7,16999.4,CON,GVT,GENERALHOSPITAL-BADULLA,5/22/2017,MED,PACK,THERMOELECTRONOY,981810,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,MAGNESIUM12*20ML,1,6030.61,6030.61,CON,GVT,GENERALHOSPITAL-BADULLA,5/22/2017,MED,PACK,THERMOELECTRONOY,981884,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,APTTSA,2,29384,58768,CON,GVT,GENERALHOSPITAL-MONARAGALA,5/29/2017,MED,PACK,HELENABIOSCIENCESEUROPE,5388ELQ,MED-CLUSTER-02,HEMATOLOGY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,"FLUIDPACK,AVL9180/9181/GEMLYTE",8,24792.5043,198340.03,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-AMPARA,6/1/2017,MED,PACK,DIAMONDDIAGNOSTICSINC.,AV-BP5186D,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,HDL-CHOLESTEROLDIRECTMETHOD200-250TEST,8,30668.12,245344.96,CON,GVT,GENERALHOSPITAL-MONARAGALA,6/2/2017,MED,PACK,BIOLABOSAS,90206,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,UREA12x20ML,2,10204.2522,20408.5,CON,GVT,BASEHOSPITAL-MAHIYANGANAYA,6/5/2017,MED,PACK,THERMOELECTRONOY,981820,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CHOLESTEROLCHOD-PAP2X100ML,15,12688.24,190323.6,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/4/2017,MED,PACK,BIOLABOSAS,80106,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,3,11761.6174,35284.85,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,WASHFLUID8x20ML,2,7101.7391,14203.48,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981842,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,"MACCONKEYAGARW/OCV,NACLW/BILESALTS0.5%",1,6594,6594,CON,GVT,GENERALHOSPITAL(TEACHING)-KEGALLE,4/27/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M082A-500G,MED-CLUSTER-03,MICROBIOLOGY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,1,12473.21,12473.21,CON,GVT,TEACHINGHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,TESTTUBE5MLWITHSTOPPER,5000,6.4696,32348,CON,GVT,DISTRICTGENERALHOSPITAL-NAWALAPITIYA,4/27/2017,MED,PCS,VACUTESTKIMAS.R.L.,18021-18350,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,HAEMATOCRITTUBEHEPARINISED100Nos,4,550,2200,CON,GVT,GENERALHOSPITAL-NUWARAELIYA,4/27/2017,MED,PCS,INTERLABLABORATUARURUNLERISAN.TIC.A.S.,088.02.001,MED-CLUSTER-03,GENERALLABORATORY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CHOLESTEROLCHOD-PAP2X100ML,4,12688.24,50752.96,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,80106,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,TOTALBILIRUBIN(DMSO)2X200ML,2,20617.73,41235.46,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,80443,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-N(NORMALLEVEL)10X5ML,3,27015.6,81046.8,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,95010,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-P(PATHOLOGICALLEVEL)10X5ML,3,29098.88,87296.64,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,95011,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CHOLESTEROLCHOD-PAP2X100ML,10,12688.24,126882.4,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,80106,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,"FLUIDPACK,AVL9180/9181/GEMLYTE",3,25022,75066,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,DIAMONDDIAGNOSTICSINC.,AV-BP5186D,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,AST/GOT(IFCC.)SINGALVIAL20X10mL,6,22676.33,136057.98,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,80025,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,ALT/GPT(IFCC.)SINGALVIAL20X10mL,5,22676.33,113381.65,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,80027,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CHOLESTEROLCHOD-PAP2X100ML,5,12688.24,63441.2,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,80106,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CREATININE(KINETIC)2X125mL,10,9609.15,96091.5,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,80107,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,UREAU.V.KINETIC7X30ML,15,15705.64,235584.6,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,92032,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-N(NORMALLEVEL)10X5ML,1,27015.6,27015.6,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,95010,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-P(PATHOLOGICALLEVEL)10X5ML,1,29098.88,29098.88,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,95011,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BS-200REACTIONCUVEETTE,1,41697,41697,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOMEDICA(PVT)LTD,BA31-30-41635,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,TOTALPROTEINBIURETMETHODREADYTOUSE1X200,1,8191,8191,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PACK,BIOLABOSAS,LP87016,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,"MICROCENTRIFUGETUBE,WITHSAFE-LOCK,AUTOCLAVABLE1.5ML",200,4,800,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,4/27/2017,MED,PCS,LABBOXLABWARES.L.,PCRP-015-5K0,MED-CLUSTER-03,GENERALLABORATORY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRP1x3ML,10,24669.7478,246697.48,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981933,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRP1x3ML,20,24669.7478,493394.96,CON,GVT,TEACHINGHOSPITAL-KANDY,4/27/2017,MED,PACK,THERMOELECTRONOY,981933,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,AST/GOT(IFCC.)SINGALVIAL20X10mL,2,20614.2,41228.4,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,80025,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CHOLESTEROLCHOD-PAP2X100ML,1,11535.5652,11535.57,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,80106,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CREATININE(KINETIC)2X125mL,2,8734.9478,17469.9,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,80107,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,TOTALBILIRUBIN(DMSO)2X200ML,2,18744.1913,37488.38,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,80443,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,DIRECTBILRUBIN2X200ML,1,17591.513,17591.51,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,80553,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CALCIUMARSENAZOIII,1,20122.4609,20122.46,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,90004,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-N(NORMALLEVEL)10X5ML,2,24558.6783,49117.36,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,95010,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOEXATROL-P(PATHOLOGICALLEVEL)10X5ML,2,26453.3652,52906.73,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,95011,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,MAGNESIUM2X200ML,2,28316.3217,56632.64,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,98212,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRP-immunoturbidimetrytest1x10ml+6x20ml,8,21900,175200,CON,GVT,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,4/27/2017,MED,PACK,BIOLABOSAS,CRP620E,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRPCONTROL5x1ML,2,23964.713,47929.43,CON,GVT,DISTRICTGENERALHOSPITAL-NAWALAPITIYA,5/15/2017,MED,PACK,THERMOELECTRONOY,981251,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRPCALIBRATIONSET,2,19149.5652,38299.13,CON,GVT,DISTRICTGENERALHOSPITAL-NAWALAPITIYA,5/15/2017,MED,PACK,THERMOELECTRONOY,981674,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRPCONTROLHIGH,2,28908.5217,57817.04,CON,GVT,DISTRICTGENERALHOSPITAL-NAWALAPITIYA,5/15/2017,MED,PACK,THERMOELECTRONOY,981679,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,UREA12x20ML,2,10368.7913,20737.58,CON,GVT,DISTRICTGENERALHOSPITAL-NAWALAPITIYA,5/15/2017,MED,PACK,THERMOELECTRONOY,981820,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,TOTALPROTEINPLUS12*20ML,1,4959.6783,4959.68,CON,GVT,DISTRICTGENERALHOSPITAL-NAWALAPITIYA,5/15/2017,MED,PACK,THERMOELECTRONOY,981827,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CREATININEENZYMATIC4X30ML,2,17117.113,34234.23,CON,GVT,DISTRICTGENERALHOSPITAL-NAWALAPITIYA,5/15/2017,MED,PACK,THERMOELECTRONOY,981896,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRP1x3ML,6,25068.0348,150408.21,CON,GVT,DISTRICTGENERALHOSPITAL-NAWALAPITIYA,5/15/2017,MED,PACK,THERMOELECTRONOY,981933,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRP1x3ML,15,24669.7478,370046.22,CON,GVT,TEACHINGHOSPITAL-KANDY,5/15/2017,MED,PACK,THERMOELECTRONOY,981933,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BILIRUBINDIRECT20*4ML,8,7323.7478,58589.98,CON,GVT,TEACHINGHOSPITAL-KANDY,5/19/2017,MED,PACK,THERMOELECTRONOY,981892,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CREATININEENZYMATIC4X30ML,20,17117.1217,342342.43,CON,GVT,TEACHINGHOSPITAL-KANDY,5/19/2017,MED,PACK,THERMOELECTRONOY,981896,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BILLIRUBINTOTAL(NBD)4x20ML,10,8568.8783,85688.78,CON,GVT,TEACHINGHOSPITAL-KANDY,5/19/2017,MED,PACK,THERMOELECTRONOY,981897,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CRP1x3ML,20,24669.7478,493394.96,CON,GVT,TEACHINGHOSPITAL-KANDY,5/19/2017,MED,PACK,THERMOELECTRONOY,981933,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,AST/GOT(IFCC.)SINGALVIAL20X10mL,5,19386.77,96933.85,CON,GVT,GENERALHOSPITAL(TEACHING)-KEGALLE,5/19/2017,MED,PACK,BIOLABOSAS,80025,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CREATININE(KINETIC)2X125mL,10,8215.3,82153,CON,GVT,GENERALHOSPITAL(TEACHING)-KEGALLE,5/19/2017,MED,PACK,BIOLABOSAS,80107,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOCRPcontrolhigh1x1ml,10,1700,17000,CON,GVT,GENERALHOSPITAL(TEACHING)-KEGALLE,5/19/2017,MED,PACK,BIOLABOSAS,CRP/CONT_H1,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,BIOLABOCRPLOWCONTROL1X1ML,10,1700,17000,CON,GVT,GENERALHOSPITAL(TEACHING)-KEGALLE,5/19/2017,MED,PACK,BIOLABOSAS,CRP/CONT_L1,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,GLUCOSEGOD-PAP1000ML,2,9757.79,19515.58,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,6/1/2017,MED,PCS,BIOLABOSAS,16GL8,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CHOLESTEROLCHOD-PAP2X100ML,5,12688.24,63441.2,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,6/1/2017,MED,PACK,BIOLABOSAS,80106,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CHOLESTEROLCHOD-PAP2X100ML,3,12688.24,38064.72,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-KEGALLE,6/1/2017,MED,PACK,BIOLABOSAS,80106,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,ALP(IFCC)PLUS10X20ML,2,8007.1217,16014.24,CON,GVT,TEACHINGHOSPITAL-KANDY,6/1/2017,MED,PACK,THERMOELECTRONOY,981833,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,WASHFLUID8x20ML,3,7101.7391,21305.22,CON,GVT,TEACHINGHOSPITAL-KANDY,6/1/2017,MED,PACK,THERMOELECTRONOY,981842,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,AST/GOT(IFCC.)SINGALVIAL20X10mL,5,18810,94050,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-NUWARAELIYA,6/5/2017,MED,PACK,BIOLABOSAS,80025,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,ALT/GPT(IFCC.)SINGALVIAL20X10mL,5,18810,94050,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-NUWARAELIYA,6/5/2017,MED,PACK,BIOLABOSAS,80027,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,CREATININE(KINETIC)2X125mL,10,7972,79720,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-NUWARAELIYA,6/5/2017,MED,PACK,BIOLABOSAS,80107,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,HDL-CHOLESTEROLDIRECTMETHOD200-250TEST,3,93305,279915,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-NUWARAELIYA,6/5/2017,MED,PACK,BIOLABOSAS,90206,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,"FLUIDPACK,AVL9180/9181/GEMLYTE",10,25022,250220,CON,GVT,REGIONALDIRECTOROFHEALTHSERVICES-NUWARAELIYA,6/5/2017,MED,PACK,DIAMONDDIAGNOSTICSINC.,AV-BP5186D,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,REFELECTRODESOLUTION5ML,2,3899,7798,CON,GVT,TEACHINGHOSPITAL-PERADENIYA,6/5/2017,MED,PCS,THERMOELECTRONOY,980314,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,REFERENCEELECTRODEKIT,2,46701,93402,CON,GVT,TEACHINGHOSPITAL-PERADENIYA,6/5/2017,MED,PCS,THERMOELECTRONOY,980845,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,02_ACHIVE,POTASSIUMMICROVOLUMEELECTRODE,2,63511,127022,CON,GVT,TEACHINGHOSPITAL-PERADENIYA,6/5/2017,MED,PCS,THERMOELECTRONOY,981593,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
